利用日,利用店名,利用額,取引種類,確定／未確定,内容,領収書添付状況,領収書メモ,最終添付日,利用報告,カード名,カード下4桁,部門,セグメントタグ1,セグメントタグ2,セグメントタグ3,メモタグ,経費科目
2026-08-31,TAIYO OAKVILLAGE もも焼きJAPAN,3949,売上,未確定,"",添付済み,食材,2026-09-01,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-31,TAIYO KAMISU タコとハイボール神栖横丁,3365,売上,未確定,"",未添付,,"",未申請,タコとハイボール神栖横丁,4188,,,,,,
2026-08-31,KASUMI KAMISU 大衆酒場りゅうちゃん,3480,売上,未確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-31,KASUMI KAMISU 大衆酒場りゅうちゃん,-3480,返金,未確定,"",添付不要,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-31,KASUMI KAMISU 大衆酒場りゅうちゃん,3480,売上,未確定,"",添付不要,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-31,SAKAGURAYAMANAKA 大衆酒場りゅうちゃん,215013,売上,未確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-31,DP4*MICREED ONLINE STOR さわら十三里屋リアルカード,9189,売上,未確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-31,KUSURINOAOKI SAWARATEN さわら十三里屋リアルカード,470,売上,未確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-31,RAKUTENTRAVELKOKUNAISH ビルメン事業部,21450,売上,未確定,"",未添付,,"",申請不要,ビルメン事業部,0321,,,,,,
2026-08-31,SAKAGURAYAMANAKA 韓国酒場ハナ,84994,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-31,TAIYO KAMISU 韓国酒場ハナ,1260,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-31,TAIYO KAMISU 韓国酒場ハナ,437,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-30,KASUMI FSLIFEGARDENKAMISU 大衆酒場りゅうちゃん,11083,売上,未確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-30,KOMERI 焼きたて屋コメリパワー鹿島店,656,売上,未確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-30,KASUMI FM KASHIMA STADIUM 焼きたて屋コメリパワー鹿島店,729,売上,未確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-30,AMAZON CO JP さわら十三里屋リアルカード,9400,売上,未確定,"",未添付,,"",申請不要,さわら十三里屋リアルカード,9782,,,,,,
2026-08-30,AMAZON CO JP 鳥害対策課,3199,売上,未確定,"",未添付,,"",申請不要,鳥害対策課,0819,,,,,,
2026-08-29,BIGHOUSE KASHIMATEN もも焼きJAPAN,5504,売上,未確定,"",添付済み,食材,2026-08-30,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-29,JR EAST SHOPPING CENTER もも焼きJAPAN,16431,売上,未確定,"",添付済み,酒,2026-08-30,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-29,TAIYO OAKVILLAGE 大衆酒場りゅうちゃん,6759,売上,未確定,"",未添付,,"",申請不要,大衆酒場りゅうちゃん,2739,,,,,,
2026-08-29,KUSURINOAOKIJINKOUJITEN 焼きたて屋コメリパワー鹿島店,475,売上,未確定,"",未添付,,"",申請不要,焼きたて屋コメリパワー鹿島店,0585,焼きたて屋旭パワーコメリ店,,,,,
2026-08-29,KOMERI 神栖横丁2,1322,売上,未確定,"",未添付,,"",申請不要,神栖横丁2,3870,,,,,,
2026-08-29,TAIYO KAMISU 韓国酒場ハナ,2359,売上,未確定,"",未添付,,"",未申請,韓国酒場ハナ,7655,,,,,,
2026-08-28,TAIYO OAKVILLAGE もも焼きJAPAN,6365,売上,未確定,"",添付済み,食材,2026-08-29,申請不要,もも焼きJAPAN,0207,,,,,,
2026-08-28,ｺﾄﾔ               (ﾗｸﾃﾝ もも焼きJAPAN,17496,売上,確定,"",添付済み,食材,2026-08-30,申請不要,もも焼きJAPAN,0207,,,,,,
